timestamp,activity,cluster
2013-12-01 00:00:00,18096.857292908004,4
2013-12-01 00:10:00,17780.72318449251,4
2013-12-01 00:20:00,15373.260894269288,4
2013-12-01 00:30:00,15758.675181355602,4
2013-12-01 00:40:00,14484.995073680408,4
2013-12-01 00:50:00,13327.172072981208,4
2013-12-01 01:00:00,12042.116471242523,4
2013-12-01 01:10:00,9520.291071241516,4
2013-12-01 01:20:00,9075.649921095062,4
2013-12-01 01:30:00,7637.704022438321,4
2013-12-01 01:40:00,7162.901365073903,4
2013-12-01 01:50:00,6713.561586211756,4
2013-12-01 02:00:00,5016.431782936337,4
2013-12-01 02:10:00,4235.706629127673,4
2013-12-01 02:20:00,3281.1746791184323,4
2013-12-01 02:30:00,2843.512462513876,4
2013-12-01 02:40:00,2365.078270002137,4
2013-12-01 02:50:00,2100.2081261173225,4
2013-12-01 03:00:00,1952.3714966168177,4
2013-12-01 03:10:00,1754.0540994991748,4
2013-12-01 03:20:00,1226.5317326552909,4
2013-12-01 03:30:00,887.4336249139196,4
2013-12-01 03:40:00,1013.0072766044624,4
2013-12-01 03:50:00,793.3638180476022,4
2013-12-01 04:00:00,702.8515872463319,4
2013-12-01 04:10:00,661.7633593837114,4
2013-12-01 04:20:00,559.2123524078913,4
2013-12-01 04:30:00,475.642705589686,4
2013-12-01 04:40:00,319.8340394351678,4
2013-12-01 04:50:00,324.7730431153388,4
2013-12-01 05:00:00,242.25246408672405,4
2013-12-01 05:10:00,265.1124894349954,4
2013-12-01 05:20:00,366.9976183607367,4
2013-12-01 05:30:00,195.32498775147133,4
2013-12-01 05:40:00,92.0297759354825,4
2013-12-01 05:50:00,92.53754063509898,4
2013-12-01 06:00:00,132.75492260267862,4
2013-12-01 06:10:00,393.6215632778474,4
2013-12-01 06:20:00,313.152244258889,4
2013-12-01 06:30:00,135.9083999613321,4
2013-12-01 06:40:00,346.20368500321365,4
2013-12-01 06:50:00,370.9340983034387,4
2013-12-01 07:00:00,138.55471371555285,4
2013-12-01 07:10:00,292.2075250460688,4
2013-12-01 07:20:00,363.4036972635177,4
2013-12-01 07:30:00,400.96405278168265,4
2013-12-01 07:40:00,527.1218352728877,4
2013-12-01 07:50:00,849.4291500841074,4
2013-12-01 08:00:00,618.8710467635749,4
2013-12-01 08:10:00,1031.2638421365052,4
2013-12-01 08:20:00,1375.530877390192,4
2013-12-01 08:30:00,1629.4008584414091,4
2013-12-01 08:40:00,2158.4180905432418,4
2013-12-01 08:50:00,1947.3963968415849,4
2013-12-01 09:00:00,3061.2148417501166,4
2013-12-01 09:10:00,4124.040608817471,4
2013-12-01 09:20:00,4367.834174362433,4
2013-12-01 09:30:00,5614.654892600152,4
2013-12-01 09:40:00,6800.746066723224,4
2013-12-01 09:50:00,7752.80187003528,4
2013-12-01 10:00:00,9799.679723360035,4
2013-12-01 10:10:00,11033.992865920802,4
2013-12-01 10:20:00,11403.390990103428,4
2013-12-01 10:30:00,12311.334478820154,4
2013-12-01 10:40:00,13533.18070188042,4
2013-12-01 10:50:00,13901.370069404487,4
2013-12-01 11:00:00,15632.293694303944,4
2013-12-01 11:10:00,16452.573543908806,4
2013-12-01 11:20:00,17539.806719506912,4
2013-12-01 11:30:00,17693.90978393894,4
2013-12-01 11:40:00,18883.945325378118,4
2013-12-01 11:50:00,18991.267709360694,4
2013-12-01 12:00:00,19808.516633449464,4
2013-12-01 12:10:00,20912.159605269284,4
2013-12-01 12:20:00,20849.40435037533,4
2013-12-01 12:30:00,21971.4480484269,4
2013-12-01 12:40:00,22318.260736649925,4
2013-12-01 12:50:00,21429.82163576351,4
